"性別" "數學" "數學興趣" "數學評價" "數學信心" "科學" "科學興趣" "科學評價" "科學信心" "教育資源" "父母教育"
"男" 658.58562 11.14859 7.91135 10.84951 665.83132 10.68878 10.13091 9.86849 10.23835 "高中"
"男" 587.0026 8.37412 7.91135 8.14632 561.47456 7.31154 8.01452 4.91876 10.84499 "大學以上"
"男" 731.82089 9.31385 7.30474 9.6723 666.23064 8.69661 8.41123 7.80038 10.23835 "大學以上"
"男" 728.82716 12.15847 11.3019 10.35323 617.77632 10.68878 10.38161 9.86849 9.64761 "高中"
"男" 617.27861 9.31385 10.77308 8.76168 577.63492 8.90441 10.65629 8.87381 11.48712 "大學以上"
"男" 703.4811 12.15847 13.48293 11.12082 545.90156 8.09896 9.23574 7.68377 9.64761 "高中"
"男" 643.15771 9.31385 8.34615 9.45004 610.63392 8.09896 11.88785 8.62122 12.25657 "專科"
"男" 711.11917 9.86638 8.12441 11.75008 685.49928 13.51778 10.38161 12.38397 9.64761 "高中"
"男" 603.46766 7.44727 5.91584 7.678 583.44843 8.90441 8.21205 7.49248 12.25657 "大學以上"
"男" 637.45819 9.68014 8.12441 7.97991 623.75914 9.57219 9.23574 9.12286 9.64761 "大學以上"
"女" 599.47208 10.05658 9.65438 9.6723 492.63458 7.9045 7.81751 9.12286 11.48712 "大學以上"
"女" 637.8614 9.13133 9.65438 7.34181 595.23173 9.81723 10.97071 10.13014 10.23835 "高中"
"男" 684.54912 8.94763 7.70526 9.89515 660.54005 7.71018 8.21205 9.12286 11.48712 "大學以上"
"男" 648.68819 11.42832 8.80683 11.41779 633.84063 11.533 9.89532 10.70197 9.64761 "專科"
"男" 677.72227 12.72711 13.48293 14.06165 677.4559 11.533 12.9367 12.38397 10.84499 "大學以上"
"男" 608.36142 9.86638 8.57829 8.99736 569.19292 9.34076 8.81725 8.36075 12.25657 "專科"
"男" 694.37907 10.25252 9.98068 10.84951 674.92649 11.533 9.89532 11.82899 9.64761 "專科"
"男" 667.07832 8.76139 10.34734 8.25602 616.27149 13.51778 10.97071 13.18921 13.51543 "大學以上"
"男" 508.73939 9.13133 8.34615 7.34181 524.84366 9.81723 8.01452 8.36075 10.84499 "高中"
"男" 671.10208 10.89898 6.25944 11.75008 644.53353 9.81723 7.41821 10.13014 10.23835 "大學以上"
"男" 676.82531 7.95043 10.34734 8.99736 596.84611 8.49394 10.65629 8.36075 11.48712 "大學以上"
"男" 503.08608 5.09484 3.03682 5.04751 506.46019 9.11856 6.20452 7.80038 13.51543 "大學以上"
"男" 549.61022 8.16805 8.12441 6.49606 572.13945 9.34076 8.21205 8.08863 9.64761 "高中"
"男" 605.49162 7.13627 6.7011 6.95612 584.8564 8.49394 6.99286 8.36075 12.25657 "大學以上"
"男" 665.44365 6.74882 8.34615 7.678 592.15148 8.295 8.81725 8.36075 8.3581 "國小以下"
"男" 529.39323 5.09484 3.03682 6.49606 503.91345 7.9045 7.81751 6.76777 10.23835 "大學以上"
"男" 787.92978 9.68014 8.34615 11.12082 665.28735 11.533 9.02481 9.12286 11.48712 "大學以上"
"女" 693.09227 5.09484 7.70526 5.90622 591.99648 7.9045 8.6128 8.36075 10.23835 "大學以上"
"女" 433.19998 6.74882 4.34723 6.49606 451.00114 9.57219 8.01452 8.87381 9.03613 "高中"
"女" 728.83762 11.42832 8.82228 12.13375 636.97797 9.57219 9.45051 10.70197 9.03613 "高中"
"女" 611.41562 6.198 6.90631 6.95612 638.24256 11.06414 8.81725 9.86849 10.23835 "大學以上"
"女" 714.19531 8.57095 7.91135 9.22591 632.05229 9.34076 7.81751 9.86849 10.23835 "專科"
"女" 585.71502 9.4964 7.70526 8.99736 551.80716 8.69661 8.41123 8.08863 10.84499 "高中"
"女" 554.05746 5.09484 6.48714 3.27793 532.44457 7.9045 8.01452 8.08863 10.84499 "高中"
"女" 632.44706 8.57095 7.30474 5.04751 639.77402 11.06414 10.13091 9.86849 13.51543 "大學以上"
"女" 688.81485 5.09484 9.65438 3.27793 622.71363 8.90441 10.13091 8.87381 9.64761 "專科"
"女" 696.34647 5.09484 9.98068 8.99736 632.88117 10.07979 10.65629 6.313 11.48712 "大學以上"
"女" 711.12151 8.37412 6.90631 8.25602 636.41876 8.69661 7.61946 9.36803 12.25657 "專科"
"女" 737.29481 8.94763 7.91135 11.12082 637.11903 8.49394 9.02481 9.12286 10.23835 "專科"
"男" 683.4318 9.68014 8.82228 9.89515 640.31323 11.533 9.89532 10.13014 11.48712 "大學以上"
"男" 694.14456 12.15847 7.70526 13.19086 623.42994 8.49394 7.61946 8.08863 9.03613 "高中"
"男" 620.30453 9.13133 9.98068 9.22591 608.31044 12.1963 12.85881 9.61581 10.84499 "大學以上"
"男" 725.05595 9.31385 7.91135 9.89515 613.08042 9.81723 8.6128 9.61581 10.23835 "大學以上"
"男" 537.04321 7.95043 6.01079 7.678 538.0868 9.34076 4.2834 9.12286 11.48712 "大學以上"
"男" 758.94971 9.86638 10.34734 12.13375 709.57172 9.81723 9.45051 10.4058 13.51543 "大學以上"
"男" 743.98904 11.75478 9.35676 13.19086 687.47297 9.81723 9.02481 9.86849 12.25657 "大學以上"
"男" 531.59847 7.13627 5.72855 7.678 530.09203 8.49394 8.01452 8.87381 10.23835 "高中"
"男" 777.95797 10.05658 8.82228 10.35323 724.40248 8.49394 10.13091 7.49248 10.23835 "專科"
"男" 684.8333 10.25252 9.65438 10.59469 592.86768 8.69661 9.6695 8.36075 13.51543 "大學以上"
"男" 710.95938 12.15847 7.91135 10.59469 670.83387 13.51778 7.81751 9.61581 9.64761 "高中"
"女" 764.34813 13.84849 10.34734 13.19086 621.29008 9.57219 10.13091 8.62122 11.48712 "大學以上"
"女" 626.94932 10.05658 9.35676 9.89515 588.06607 9.34076 8.6128 8.36075 11.48712 "大學以上"
"女" 587.8872 8.57095 7.10653 7.678 588.19154 8.295 8.01452 6.76777 10.84499 "高中"
"女" 633.35515 8.94763 7.70526 8.51577 567.0869 8.295 8.01452 8.08863 9.64761 "高中"
"女" 846.95981 9.86638 8.12441 10.84951 703.6339 9.81723 9.23574 9.86849 9.64761 "高中"
"女" 506.80985 5.09484 6.48714 3.27793 455.67599 6.37614 6.20452 4.91876 8.3581 "初中"
"女" 724.45776 10.67004 9.08085 13.19086 682.9444 8.90441 9.6695 9.61581 9.03613 "高中"
"女" 586.30687 9.68014 6.7011 8.51577 549.91127 7.9045 5.31763 7.49248 9.03613 "高中"
"女" 726.68093 8.37412 7.70526 10.12116 596.03491 7.51243 7.81751 6.313 10.23835 "專科"
"女" 708.64534 9.31385 9.65438 9.45004 617.14943 8.09896 8.6128 8.08863 9.64761 "高中"
"女" 714.74863 10.25252 11.3019 10.84951 569.47107 8.09896 8.21205 8.08863 11.48712 "大學以上"
"男" 725.95023 12.15847 10.77308 15.85188 655.92078 9.57219 10.13091 10.4058 11.48712 "大學以上"
"男" 727.62131 8.94763 8.57829 9.22591 686.12698 8.49394 9.02481 8.87381 11.48712 "大學以上"
"男" 733.12195 10.05658 8.82228 11.75008 667.3222 9.57219 9.23574 9.86849 12.25657 "大學以上"
"男" 677.85712 8.57095 8.12441 8.51577 544.23276 7.71018 7.81751 8.08863 10.84499 "大學以上"
"男" 699.57961 9.68014 13.48293 8.76168 733.41869 13.51778 12.9367 14.84182 13.51543 "大學以上"
"男" 593.43995 5.09484 8.57829 10.12116 618.65345 9.11856 9.45051 14.84182 13.51543 "大學以上"
"男" 673.08673 6.198 8.82228 9.89515 660.42551 6.88421 4.2834 10.70197 13.51543 "大學以上"
"男" 530.63237 8.76139 9.08085 8.25602 518.23372 9.34076 10.38161 8.08863 8.3581 "高中"
"男" 727.77887 8.76139 7.10653 9.45004 658.30518 8.295 8.21205 8.87381 10.84499 "大學以上"
"男" 540.12558 7.95043 6.90631 5.90622 509.99255 7.71018 8.01452 8.62122 7.56439 "初中"
"男" 622.22905 8.57095 7.30474 8.76168 623.27877 9.11856 9.45051 10.4058 10.23835 "高中"
"男" 669.9959 9.31385 7.70526 10.35323 536.23323 7.31154 7.81751 8.08863 13.51543 "大學以上"
"男" 694.66492 9.13133 8.82228 10.35323 595.85246 7.71018 12.9367 8.62122 9.03613 "高中"
"男" 677.79331 13.84849 13.48293 10.84951 572.88064 8.09896 9.45051 8.08863 13.51543 "大學以上"
"女" 746.97966 9.13133 8.57829 8.76168 648.67476 10.36663 9.6695 10.13014 11.48712 "大學以上"
"女" 699.65845 10.45644 10.77308 9.6723 672.79581 9.57219 9.6695 9.61581 11.48712 "大學以上"
"女" 764.903 10.05658 9.98068 10.59469 658.77637 9.81723 9.45051 10.4058 13.51543 "大學以上"
"女" 635.19003 9.78205 8.57829 8.99736 529.34328 8.90441 8.41123 8.62122 12.25657 "專科"
"女" 542.55877 5.09484 5.39638 3.27793 535.00457 8.09896 6.20452 6.313 10.23835 "大學以上"
"女" 624.92057 6.74882 5.72855 5.90622 523.68315 9.11856 10.65629 8.08863 11.48712 "專科"
"女" 564.39151 7.44727 8.12441 7.678 552.83907 7.10319 9.02481 3.24992 10.84499 "大學以上"
"女" 700.22613 6.198 8.12441 3.27793 641.48573 7.51243 9.23574 5.74112 13.51543 "大學以上"
"女" 624.64653 9.13133 7.70526 8.99736 589.25694 8.90441 8.21205 9.61581 12.25657 "大學以上"
"女" 684.58743 8.94763 7.50425 9.22591 665.19095 12.1963 12.9367 13.18921 12.25657 "大學以上"
"女" 401.62671 5.09484 6.48714 6.49606 430.00336 8.295 7.41821 6.313 10.84499 "大學以上"
"女" 692.37883 8.37412 7.70526 8.76168 665.17478 9.34076 12.9367 9.86849 11.48712 "大學以上"
"男" 689.14847 12.15847 9.65438 14.06165 633.64434 13.51778 10.38161 11.02414 9.64761 "高中"
"男" 677.83618 9.13133 10.77308 10.59469 620.51191 9.57219 8.81725 8.08863 11.48712 "大學以上"
